Zip,PUMA,Neighborhood,Borough
10001,3807,"Chelsea, Clinton & Midtown Business District",Manhattan
10002,3809,Chinatown & Lower East Side,Manhattan
10003,3809,Chinatown & Lower East Side,Manhattan
10004,3810,Battery Park City/Greenwich Village/Soho,Manhattan
10005,3810,Battery Park City/Greenwich Village/Soho,Manhattan
10006,3810,Battery Park City/Greenwich Village/Soho,Manhattan
10007,3810,Battery Park City/Greenwich Village/Soho,Manhattan
10008,3810,Battery Park City/Greenwich Village/Soho,Manhattan
10009,3809,Chinatown & Lower East Side,Manhattan
10010,3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
10011,3807,"Chelsea, Clinton & Midtown Business District",Manhattan
10012,3810,Battery Park City/Greenwich Village/Soho,Manhattan
10013,3810,Battery Park City/Greenwich Village/Soho,Manhattan
10014,3810,Battery Park City/Greenwich Village/Soho,Manhattan
10016,3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
10017,3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
10018,3807,"Chelsea, Clinton & Midtown Business District",Manhattan
10019,3807,"Chelsea, Clinton & Midtown Business District",Manhattan
10020,3807,"Chelsea, Clinton & Midtown Business District",Manhattan
10021,3805,Upper East Side,Manhattan
10022,3808,"Murray Hill, Gramercy & Stuyvesant Town",Manhattan
10023,3806,Upper West Side & West Side,Manhattan
10024,3806,Upper West Side & West Side,Manhattan
10025,3806,Upper West Side & West Side,Manhattan
10026,3803,Central Harlem,Manhattan
10027,3802,"Hamilton Heights, Manhattanville & West Harlem",Manhattan
10028,3805,Upper East Side,Manhattan
10029,3804,East Harlem,Manhattan
10030,3803,Central Harlem,Manhattan
10031,3802,"Hamilton Heights, Manhattanville & West Harlem",Manhattan
10032,3801,"Washington Heights, Inwood & Marble Hill",Manhattan
10033,3801,"Washington Heights, Inwood & Marble Hill",Manhattan
10034,3801,"Washington Heights, Inwood & Marble Hill",Manhattan
10035,3804,East Harlem,Manhattan
10036,3807,"Chelsea, Clinton & Midtown Business District",Manhattan
10037,3803,Central Harlem,Manhattan
10038,3810,Battery Park City/Greenwich Village/Soho,Manhattan
10039,3803,Central Harlem,Manhattan
10040,3801,"Washington Heights, Inwood & Marble Hill",Manhattan
10041,3810,Battery Park City/Greenwich Village/Soho,Manhattan
10043,3810,Battery Park City/Greenwich Village/Soho,Manhattan
10044,3805,Upper East Side,Manhattan
